Year;Unit;Country;Month;value
2020;usd;Philippines;01;1917130
2020;usd;Qatar;01;0
2020;usd;Thailand;01;156085
2020;usd;Australia;01;0
2020;usd;Israel;01;8754699
2020;usd;Mauritius;01;17716
2020;usd;Austria;01;0
2020;usd;India;01;1419894
2020;usd;Taiwan;01;4029918
2020;usd;Panama;01;0
2020;usd;South Korea;01;4429100
2020;usd;Portugal;01;738358
2021;usd;Albania;01;0
2021;usd;Belgium;01;312434
2021;usd;Brazil;01;1129421
2021;usd;Cambodia;01;166253
2021;usd;Canada;01;9095632
2021;usd;China;01;323184
2021;usd;Colombia;01;0
2021;usd;Czechia;01;1924623
2021;usd;Denmark;01;0
2021;usd;Dominican Rep;01;0
2021;usd;Estonia;01;0
2021;usd;France;01;0
2021;usd;Germany;01;565644
2021;usd;Greece;01;0
2021;usd;Hong Kong;01;0
2021;usd;India;01;20847189
2021;usd;Indonesia;01;108454
2021;usd;Israel;01;6750623
2021;usd;Italy;01;3348219
2021;usd;Kenya;01;0
2021;usd;Malaysia;01;9846708
2021;usd;Mexico;01;80889
2021;usd;Oman;01;0
2021;usd;Pakistan;01;24960
2021;usd;Philippines;01;2315351
2021;usd;Poland;01;0
2021;usd;Portugal;01;2836659
2021;usd;Romania;01;125907
2021;usd;Samoa;01;0
2021;usd;Saudi Arabia;01;0
2021;usd;Singapore;01;0
2021;usd;South Africa;01;0
2021;usd;South Korea;01;5593801
2021;usd;Spain;01;17667370
2021;usd;Switzerland;01;0
2021;usd;Taiwan;01;3574791
2021;usd;Thailand;01;1516653
2021;usd;Turkey;01;4668938
2021;usd;United Arab Em;01;0
2021;usd;Vietnam;01;21574198
2022;usd;Malaysia;01;9099423
2022;usd;Romania;01;138481
2022;usd;Pakistan;01;18080
2022;usd;Spain;01;27860564
2022;usd;Czechia;01;3042835
2022;usd;Albania;01;27500
2022;usd;Germany;01;1006515
2022;usd;Brazil;01;1173476
2022;usd;Greece;01;0
2022;usd;Colombia;01;0
2022;usd;Mexico;01;11403
2022;usd;Vietnam;01;24234809
2022;usd;Lithuania;01;0
2022;usd;Turkey;01;4327111
2022;usd;Cambodia;01;1079029
2022;usd;France;01;0
2022;usd;Belgium;01;564315
2022;usd;Indonesia;01;219925
2022;usd;Philippines;01;2519268
2022;usd;Hong Kong;01;0
2022;usd;China;01;290019
2022;usd;Thailand;01;6455755
2022;usd;Italy;01;3412202
2022;usd;Ukraine;01;0
2022;usd;Canada;01;8304000
2022;usd;Oman;01;338206
2022;usd;Israel;01;6451362
2022;usd;India;01;34718663
2022;usd;Taiwan;01;3692157
2022;usd;South Korea;01;1682616
2022;usd;Portugal;01;1870272
2022;usd;United Arab Em;01;150300
2015;sqm;Romania;01;0
2015;sqm;Pakistan;01;0
2015;sqm;Czechia;01;739
2015;sqm;Germany;01;2150
2015;sqm;Brazil;01;746
2015;sqm;Mexico;01;510
2015;sqm;Belgium;01;682
2015;sqm;Hong Kong;01;0
2015;sqm;Sweden;01;0
2015;sqm;China;01;103114
2015;sqm;Italy;01;12912
2015;sqm;Canada;01;34693
2015;sqm;Oman;01;0
2015;sqm;Argentina;01;0
2015;sqm;Poland;01;397
2015;sqm;Spain;01;73160
2015;sqm;Colombia;01;0
2015;sqm;Vietnam;01;44340
2015;sqm;Netherlands;01;0
2015;sqm;Singapore;01;0
